Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping
US,NC,27524,,6.7500,Tax,1,0,1
US,NC,27525,,6.7500,Tax,1,0,1
US,NC,27526,,6.7500,Tax,1,0,1
US,NC,27527,,6.7500,Tax,1,0,1
US,NC,27529,,7.2500,Tax,1,0,1
US,NC,27530,,6.7500,Tax,1,0,1
US,NC,27531,,6.7500,Tax,1,0,1
US,NC,27534,,6.7500,Tax,1,0,1
US,NC,27536,,6.7500,Tax,1,0,1
US,NC,27537,,6.7500,Tax,1,0,1
US,NC,27539,,6.7500,Tax,1,0,1
US,NC,27540,,6.7500,Tax,1,0,1
US,NC,27541,,6.7500,Tax,1,0,1
US,NC,27542,,6.7500,Tax,1,0,1
US,NC,27544,,6.7500,Tax,1,0,1
US,NC,27545,,6.7500,Tax,1,0,1
US,NC,27546,,6.7500,Tax,1,0,1
US,NC,27549,,6.7500,Tax,1,0,1
US,NC,27551,,6.7500,Tax,1,0,1
US,NC,27552,,6.7500,Tax,1,0,1
US,NC,27553,,6.7500,Tax,1,0,1
US,NC,27555,,7.2500,Tax,1,0,1
US,NC,27556,,6.7500,Tax,1,0,1
US,NC,27557,,6.7500,Tax,1,0,1
US,NC,27559,,7.2500,Tax,1,0,1
US,NC,27560,,6.7500,Tax,1,0,1
US,NC,27562,,6.7500,Tax,1,0,1
US,NC,27563,,6.7500,Tax,1,0,1
US,NC,27564,,6.7500,Tax,1,0,1
US,NC,27565,,6.7500,Tax,1,0,1
US,NC,27569,,6.7500,Tax,1,0,1
US,NC,27571,,6.7500,Tax,1,0,1
US,NC,27572,,6.7500,Tax,1,0,1
US,NC,27573,,6.7500,Tax,1,0,1
US,NC,27574,,6.7500,Tax,1,0,1
US,NC,27576,,6.7500,Tax,1,0,1
US,NC,27577,,6.7500,Tax,1,0,1
US,NC,27581,,6.7500,Tax,1,0,1
US,NC,27582,,6.7500,Tax,1,0,1
US,NC,27583,,6.7500,Tax,1,0,1
US,NC,27584,,6.7500,Tax,1,0,1
US,NC,27587,,7.2500,Tax,1,0,1
US,NC,27591,,6.7500,Tax,1,0,1
US,NC,27592,,6.7500,Tax,1,0,1
US,NC,27593,,6.7500,Tax,1,0,1
US,NC,27594,,6.7500,Tax,1,0,1
US,NC,27596,,6.7500,Tax,1,0,1
US,NC,27597,,6.7500,Tax,1,0,1
US,NC,27599,,7.2500,Tax,1,0,1
US,NC,27601,,7.2500,Tax,1,0,1
US,NC,27603,,7.2500,Tax,1,0,1
US,NC,27604,,7.2500,Tax,1,0,1
US,NC,27605,,7.2500,Tax,1,0,1
US,NC,27606,,7.2500,Tax,1,0,1
US,NC,27607,,7.2500,Tax,1,0,1
US,NC,27608,,7.2500,Tax,1,0,1
US,NC,27609,,7.2500,Tax,1,0,1
US,NC,27610,,7.2500,Tax,1,0,1
US,NC,27612,,7.2500,Tax,1,0,1
US,NC,27613,,7.2500,Tax,1,0,1
US,NC,27614,,7.2500,Tax,1,0,1
US,NC,27615,,7.2500,Tax,1,0,1
US,NC,27616,,7.2500,Tax,1,0,1
US,NC,27617,,7.2500,Tax,1,0,1
US,NC,27701,,7.5000,Tax,1,0,1
US,NC,27703,,7.5000,Tax,1,0,1
US,NC,27704,,7.5000,Tax,1,0,1
US,NC,27705,,7.5000,Tax,1,0,1
US,NC,27706,,7.5000,Tax,1,0,1
US,NC,27707,,7.5000,Tax,1,0,1
US,NC,27708,,7.5000,Tax,1,0,1
US,NC,27709,,7.5000,Tax,1,0,1
US,NC,27710,,7.5000,Tax,1,0,1
US,NC,27712,,7.5000,Tax,1,0,1
US,NC,27713,,7.5000,Tax,1,0,1
US,NC,27801,,7.0000,Tax,1,0,1
US,NC,27803,,7.0000,Tax,1,0,1
US,NC,27804,,7.0000,Tax,1,0,1
US,NC,27805,,7.0000,Tax,1,0,1
US,NC,27806,,7.0000,Tax,1,0,1
US,NC,27807,,7.0000,Tax,1,0,1
US,NC,27808,,7.0000,Tax,1,0,1
US,NC,27809,,7.0000,Tax,1,0,1
US,NC,27810,,7.0000,Tax,1,0,1
US,NC,27812,,7.0000,Tax,1,0,1
US,NC,27814,,7.0000,Tax,1,0,1
US,NC,27815,,7.0000,Tax,1,0,1
US,NC,27816,,7.0000,Tax,1,0,1
US,NC,27817,,7.0000,Tax,1,0,1
US,NC,27818,,6.7500,Tax,1,0,1
US,NC,27819,,7.0000,Tax,1,0,1
US,NC,27820,,6.7500,Tax,1,0,1
US,NC,27821,,7.0000,Tax,1,0,1
US,NC,27822,,6.7500,Tax,1,0,1
US,NC,27823,,7.0000,Tax,1,0,1
US,NC,27824,,7.0000,Tax,1,0,1
US,NC,27825,,7.0000,Tax,1,0,1
US,NC,27826,,7.0000,Tax,1,0,1
US,NC,27827,,7.0000,Tax,1,0,1
US,NC,27828,,7.0000,Tax,1,0,1
US,NC,27829,,7.0000,Tax,1,0,1
US,NC,27830,,7.0000,Tax,1,0,1
US,NC,27831,,7.0000,Tax,1,0,1
US,NC,27832,,7.0000,Tax,1,0,1
US,NC,27834,,7.0000,Tax,1,0,1
US,NC,27837,,7.0000,Tax,1,0,1
US,NC,27839,,7.0000,Tax,1,0,1
US,NC,27840,,7.0000,Tax,1,0,1
US,NC,27841,,7.0000,Tax,1,0,1
US,NC,27842,,7.0000,Tax,1,0,1
US,NC,27843,,7.0000,Tax,1,0,1
US,NC,27844,,7.0000,Tax,1,0,1
US,NC,27845,,7.0000,Tax,1,0,1
US,NC,27846,,7.0000,Tax,1,0,1
US,NC,27847,,7.0000,Tax,1,0,1
US,NC,27849,,7.0000,Tax,1,0,1
US,NC,27850,,7.0000,Tax,1,0,1
US,NC,27851,,7.0000,Tax,1,0,1
US,NC,27852,,7.0000,Tax,1,0,1
US,NC,27853,,7.0000,Tax,1,0,1
US,NC,27855,,7.0000,Tax,1,0,1
US,NC,27856,,7.0000,Tax,1,0,1
US,NC,27857,,7.0000,Tax,1,0,1
US,NC,27858,,7.0000,Tax,1,0,1
US,NC,27860,,7.0000,Tax,1,0,1
US,NC,27861,,7.0000,Tax,1,0,1
US,NC,27862,,7.0000,Tax,1,0,1
US,NC,27863,,7.0000,Tax,1,0,1
US,NC,27864,,6.7500,Tax,1,0,1
US,NC,27865,,7.0000,Tax,1,0,1
US,NC,27866,,6.7500,Tax,1,0,1
US,NC,27869,,7.0000,Tax,1,0,1
US,NC,27870,,7.0000,Tax,1,0,1
US,NC,27871,,7.0000,Tax,1,0,1
US,NC,27872,,7.0000,Tax,1,0,1
US,NC,27873,,7.0000,Tax,1,0,1
US,NC,27874,,7.0000,Tax,1,0,1
US,NC,27875,,7.0000,Tax,1,0,1
US,NC,27876,,7.0000,Tax,1,0,1
US,NC,27877,,7.0000,Tax,1,0,1
US,NC,27878,,7.0000,Tax,1,0,1
US,NC,27879,,7.0000,Tax,1,0,1
US,NC,27880,,7.0000,Tax,1,0,1
US,NC,27881,,7.0000,Tax,1,0,1
US,NC,27882,,7.0000,Tax,1,0,1
US,NC,27883,,7.0000,Tax,1,0,1
US,NC,27886,,7.0000,Tax,1,0,1
US,NC,27888,,7.0000,Tax,1,0,1
US,NC,27889,,7.0000,Tax,1,0,1
US,NC,27890,,7.0000,Tax,1,0,1
US,NC,27892,,7.0000,Tax,1,0,1
US,NC,27893,,7.0000,Tax,1,0,1
US,NC,27896,,7.0000,Tax,1,0,1
US,NC,27897,,7.0000,Tax,1,0,1
US,NC,27909,,6.7500,Tax,1,0,1
US,NC,27910,,6.7500,Tax,1,0,1
US,NC,27915,,6.7500,Tax,1,0,1
US,NC,27916,,6.7500,Tax,1,0,1
US,NC,27917,,6.7500,Tax,1,0,1
US,NC,27919,,6.7500,Tax,1,0,1
US,NC,27920,,6.7500,Tax,1,0,1
US,NC,27921,,6.7500,Tax,1,0,1
US,NC,27922,,6.7500,Tax,1,0,1
US,NC,27924,,6.7500,Tax,1,0,1
US,NC,27925,,6.7500,Tax,1,0,1
US,NC,27926,,6.7500,Tax,1,0,1
US,NC,27927,,6.7500,Tax,1,0,1
US,NC,27928,,6.7500,Tax,1,0,1
US,NC,27929,,6.7500,Tax,1,0,1
US,NC,27932,,6.7500,Tax,1,0,1
US,NC,27935,,6.7500,Tax,1,0,1
US,NC,27936,,6.7500,Tax,1,0,1
US,NC,27937,,6.7500,Tax,1,0,1
US,NC,27938,,6.7500,Tax,1,0,1
US,NC,27939,,6.7500,Tax,1,0,1
US,NC,27941,,6.7500,Tax,1,0,1
US,NC,27943,,6.7500,Tax,1,0,1
US,NC,27944,,6.7500,Tax,1,0,1
US,NC,27946,,6.7500,Tax,1,0,1
US,NC,27947,,6.7500,Tax,1,0,1
US,NC,27948,,6.7500,Tax,1,0,1
US,NC,27949,,6.7500,Tax,1,0,1
US,NC,27950,,6.7500,Tax,1,0,1
US,NC,27953,,6.7500,Tax,1,0,1
US,NC,27954,,6.7500,Tax,1,0,1
US,NC,27956,,6.7500,Tax,1,0,1
US,NC,27957,,6.7500,Tax,1,0,1
US,NC,27958,,6.7500,Tax,1,0,1
US,NC,27959,,6.7500,Tax,1,0,1
US,NC,27960,,6.7500,Tax,1,0,1
US,NC,27962,,6.7500,Tax,1,0,1
US,NC,27964,,6.7500,Tax,1,0,1
US,NC,27965,,6.7500,Tax,1,0,1
US,NC,27966,,6.7500,Tax,1,0,1
US,NC,27967,,6.7500,Tax,1,0,1
US,NC,27968,,6.7500,Tax,1,0,1
US,NC,27969,,6.7500,Tax,1,0,1
US,NC,27970,,6.7500,Tax,1,0,1
US,NC,27972,,6.7500,Tax,1,0,1
US,NC,27973,,6.7500,Tax,1,0,1
US,NC,27974,,6.7500,Tax,1,0,1
US,NC,27976,,6.7500,Tax,1,0,1
US,NC,27978,,6.7500,Tax,1,0,1
US,NC,27979,,6.7500,Tax,1,0,1
US,NC,27980,,6.7500,Tax,1,0,1
US,NC,27981,,6.7500,Tax,1,0,1
US,NC,27982,,6.7500,Tax,1,0,1
US,NC,27983,,6.7500,Tax,1,0,1
US,NC,27985,,6.7500,Tax,1,0,1
US,NC,27986,,6.7500,Tax,1,0,1
US,NC,28001,,7.2500,Tax,1,0,1
US,NC,28006,,7.2500,Tax,1,0,1
US,NC,28007,,6.7500,Tax,1,0,1
US,NC,28009,,7.2500,Tax,1,0,1
US,NC,28012,,7.2500,Tax,1,0,1
US,NC,28016,,7.2500,Tax,1,0,1
US,NC,28017,,7.2500,Tax,1,0,1
US,NC,28019,,6.7500,Tax,1,0,1
US,NC,28020,,6.7500,Tax,1,0,1
US,NC,28021,,7.2500,Tax,1,0,1
US,NC,28023,,7.2500,Tax,1,0,1
US,NC,28025,,7.2500,Tax,1,0,1
US,NC,28027,,7.2500,Tax,1,0,1
US,NC,28031,,7.2500,Tax,1,0,1
US,NC,28032,,6.7500,Tax,1,0,1
US,NC,28033,,6.7500,Tax,1,0,1
US,NC,28034,,7.2500,Tax,1,0,1
US,NC,28036,,7.2500,Tax,1,0,1
US,NC,28037,,6.7500,Tax,1,0,1
US,NC,28040,,7.2500,Tax,1,0,1
US,NC,28041,,6.7500,Tax,1,0,1
US,NC,28043,,7.2500,Tax,1,0,1
US,NC,28052,,6.7500,Tax,1,0,1
US,NC,28054,,7.2500,Tax,1,0,1
US,NC,28056,,6.7500,Tax,1,0,1
US,NC,28071,,7.2500,Tax,1,0,1
US,NC,28072,,6.7500,Tax,1,0,1
US,NC,28073,,7.2500,Tax,1,0,1
US,NC,28074,,7.2500,Tax,1,0,1
US,NC,28075,,7.2500,Tax,1,0,1
US,NC,28076,,7.2500,Tax,1,0,1
US,NC,28077,,7.2500,Tax,1,0,1
US,NC,28078,,7.2500,Tax,1,0,1
US,NC,28079,,7.2500,Tax,1,0,1
US,NC,28081,,6.7500,Tax,1,0,1
US,NC,28083,,6.7500,Tax,1,0,1
US,NC,28086,,7.2500,Tax,1,0,1
US,NC,28088,,6.7500,Tax,1,0,1
US,NC,28089,,6.7500,Tax,1,0,1
US,NC,28090,,6.7500,Tax,1,0,1
US,NC,28091,,6.7500,Tax,1,0,1
US,NC,28092,,6.7500,Tax,1,0,1
US,NC,28097,,6.7500,Tax,1,0,1
US,NC,28098,,6.7500,Tax,1,0,1
US,NC,28101,,6.7500,Tax,1,0,1
US,NC,28102,,6.7500,Tax,1,0,1
US,NC,28103,,6.7500,Tax,1,0,1
US,NC,28104,,7.2500,Tax,1,0,1
US,NC,28105,,7.2500,Tax,1,0,1
US,NC,28107,,7.2500,Tax,1,0,1
US,NC,28108,,6.7500,Tax,1,0,1
US,NC,28109,,7.2500,Tax,1,0,1
US,NC,28110,,7.2500,Tax,1,0,1
US,NC,28112,,6.7500,Tax,1,0,1
US,NC,28114,,6.7500,Tax,1,0,1
US,NC,28115,,7.0000,Tax,1,0,1
US,NC,28117,,6.7500,Tax,1,0,1
US,NC,28119,,7.0000,Tax,1,0,1
US,NC,28120,,7.0000,Tax,1,0,1
US,NC,28124,,6.7500,Tax,1,0,1
US,NC,28125,,6.7500,Tax,1,0,1
US,NC,28127,,7.0000,Tax,1,0,1
US,NC,28128,,6.7500,Tax,1,0,1
US,NC,28129,,6.7500,Tax,1,0,1
US,NC,28133,,6.7500,Tax,1,0,1
US,NC,28134,,6.7500,Tax,1,0,1
US,NC,28135,,6.7500,Tax,1,0,1
US,NC,28136,,7.0000,Tax,1,0,1
US,NC,28137,,6.7500,Tax,1,0,1
US,NC,28138,,6.7500,Tax,1,0,1
US,NC,28139,,6.7500,Tax,1,0,1
US,NC,28144,,6.7500,Tax,1,0,1
US,NC,28146,,7.0000,Tax,1,0,1
US,NC,28147,,6.7500,Tax,1,0,1
US,NC,28150,,6.7500,Tax,1,0,1
US,NC,28152,,6.7500,Tax,1,0,1
US,NC,28159,,6.7500,Tax,1,0,1
US,NC,28160,,6.7500,Tax,1,0,1
US,NC,28163,,6.7500,Tax,1,0,1
US,NC,28164,,6.7500,Tax,1,0,1
US,NC,28166,,6.7500,Tax,1,0,1
US,NC,28167,,6.7500,Tax,1,0,1
US,NC,28168,,6.7500,Tax,1,0,1
US,NC,28169,,6.7500,Tax,1,0,1
US,NC,28170,,6.7500,Tax,1,0,1
US,NC,28173,,6.7500,Tax,1,0,1
US,NC,28174,,6.7500,Tax,1,0,1
US,NC,28201,,7.2500,Tax,1,0,1
US,NC,28202,,7.2500,Tax,1,0,1
US,NC,28203,,7.2500,Tax,1,0,1
US,NC,28204,,7.2500,Tax,1,0,1
US,NC,28205,,7.2500,Tax,1,0,1
US,NC,28206,,7.2500,Tax,1,0,1
US,NC,28207,,7.2500,Tax,1,0,1
US,NC,28208,,7.2500,Tax,1,0,1
US,NC,28209,,7.2500,Tax,1,0,1
US,NC,28210,,7.2500,Tax,1,0,1
US,NC,28211,,7.2500,Tax,1,0,1
US,NC,28212,,7.2500,Tax,1,0,1
US,NC,28213,,7.2500,Tax,1,0,1
US,NC,28214,,7.2500,Tax,1,0,1
US,NC,28215,,7.2500,Tax,1,0,1
US,NC,28216,,7.2500,Tax,1,0,1
US,NC,28217,,7.2500,Tax,1,0,1
US,NC,28223,,7.2500,Tax,1,0,1
US,NC,28226,,7.2500,Tax,1,0,1
US,NC,28227,,7.2500,Tax,1,0,1
US,NC,28244,,7.2500,Tax,1,0,1
US,NC,28262,,7.2500,Tax,1,0,1
US,NC,28269,,7.2500,Tax,1,0,1
US,NC,28270,,7.2500,Tax,1,0,1
US,NC,28273,,7.2500,Tax,1,0,1
US,NC,28274,,7.2500,Tax,1,0,1
US,NC,28277,,7.2500,Tax,1,0,1
US,NC,28278,,7.2500,Tax,1,0,1
US,NC,28280,,7.2500,Tax,1,0,1
US,NC,28282,,7.2500,Tax,1,0,1
US,NC,28301,,7.0000,Tax,1,0,1
US,NC,28303,,7.0000,Tax,1,0,1
US,NC,28304,,7.0000,Tax,1,0,1
US,NC,28305,,7.0000,Tax,1,0,1
US,NC,28306,,7.0000,Tax,1,0,1
US,NC,28307,,7.0000,Tax,1,0,1
US,NC,28308,,7.0000,Tax,1,0,1
US,NC,28310,,7.0000,Tax,1,0,1
US,NC,28311,,7.0000,Tax,1,0,1
US,NC,28312,,7.0000,Tax,1,0,1
US,NC,28314,,7.0000,Tax,1,0,1
US,NC,28315,,7.0000,Tax,1,0,1
US,NC,28318,,7.0000,Tax,1,0,1
US,NC,28320,,6.7500,Tax,1,0,1
US,NC,28323,,6.7500,Tax,1,0,1
US,NC,28325,,7.0000,Tax,1,0,1
US,NC,28326,,6.7500,Tax,1,0,1
US,NC,28327,,7.0000,Tax,1,0,1
US,NC,28328,,6.7500,Tax,1,0,1
US,NC,28329,,7.0000,Tax,1,0,1
US,NC,28330,,7.0000,Tax,1,0,1
US,NC,28331,,7.0000,Tax,1,0,1
US,NC,28332,,7.0000,Tax,1,0,1
US,NC,28333,,7.0000,Tax,1,0,1
US,NC,28334,,7.0000,Tax,1,0,1
US,NC,28337,,7.0000,Tax,1,0,1
US,NC,28338,,6.7500,Tax,1,0,1
US,NC,28339,,7.0000,Tax,1,0,1
US,NC,28340,,6.7500,Tax,1,0,1
US,NC,28341,,7.0000,Tax,1,0,1
US,NC,28342,,7.0000,Tax,1,0,1
US,NC,28343,,7.0000,Tax,1,0,1
US,NC,28344,,7.0000,Tax,1,0,1
